判定,ワード,スコア,,,,,,,,
ふわっと,夢,0.9,,,,,,,,
ふわっと,自由,0.8,,,,,,,,
ふわっと,ワクワク,0.9,,,,,,,,
ふわっと,仲間,0.6,,,,,,,,
ふわっと,フレンドリー,0.6,,,,,,,,
ふわっと,面白い会社,0.8,,,,,,,,
ふわっと,ポテンシャル,0.7,,,,,,,,
ふわっと,自由な発想,0.8,,,,,,,,
ふわっと,未来,0.7,,,,,,,,
ふわっと,自由度高い,0.7,,,,,,,,
ふわっと,フラット,0.6,,,,,,,,
ふわっと,冒険,0.8,,,,,,,,
ふわっと,自由感,0.8,,,,,,,,
ふわっと,熱意ある,0.8,,,,,,,,
ふわっと,夢中,0.9,,,,,,,,
ふわっと,自由志向,0.8,,,,,,,,
ふわっと,挑戦精神,0.8,,,,,,,,
ふわっと,自由主義,0.7,,,,,,,,
ふわっと,面白い挑戦,0.8,,,,,,,,
ふわっと,夢追い人,0.9,,,,,,,,
ふわっと,自由発想力,0.8,,,,,,,,
ふわっと,やりがい重視,0.7,,,,,,,,
ふわっと,体験,0.7,,,,,,,,
ふわっと,自己表現,0.8,,,,,,,,
ふわっと,挑戦機会,0.8,,,,,,,,
ふわっと,仲間との連携,0.7,,,,,,,,
ふわっと,未来志向的,0.8,,,,,,,,
ふわっと,自由度高め,0.7,,,,,,,,
ふわっと,面白さ追求,0.6,,,,,,,,
ふわっと,挑戦意欲,0.8,,,,,,,,
ふわっと,自由環境,0.8,,,,,,,,
ふわっと,夢見る,0.9,,,,,,,,
ふわっと,柔軟思考力,0.7,,,,,,,,
ふわっと,自由に考える,0.8,,,,,,,,
ふわっと,好奇心旺盛,0.9,,,,,,,,
ふわっと,ワクワク挑戦,0.9,,,,,,,,
ふわっと,挑戦力,0.8,,,,,,,,
ふわっと,自由な挑戦,0.8,,,,,,,,
ふわっと,面白発想力,0.7,,,,,,,,
ふわっと,夢中になる,0.9,,,,,,,,
ふわっと,自由な生き方,0.8,,,,,,,,
ふわっと,挑戦精神豊か,0.8,,,,,,,,
ふわっと,仲間と協力,0.7,,,,,,,,
ふわっと,自由文化,0.8,,,,,,,,
ふわっと,柔軟な発想,0.7,,,,,,,,
ふわっと,夢追求,0.9,,,,,,,,
ふわっと,好奇心探索,0.9,,,,,,,,
ふわっと,挑戦冒険,0.8,,,,,,,,
ふわっと,自由行動,0.8,,,,,,,,
ふわっと,面白体験,0.7,,,,,,,,
ふわっと,自由創造,0.8,,,,,,,,
ふわっと,ワクワク発想,0.9,,,,,,,,
ふわっと,挑戦的思考,0.8,,,,,,,,
ふわっと,夢探求,0.9,,,,,,,,
ふわっと,柔軟な挑戦,0.7,,,,,,,,
ふわっと,自由探求,0.8,,,,,,,,
ふわっと,仲間との協働,0.7,,,,,,,,
ふわっと,自由な冒険,0.8,,,,,,,,
ふわっと,好奇心豊か,0.9,,,,,,,,
ふわっと,面白挑戦,0.8,,,,,,,,
ふわっと,夢感覚,0.9,,,,,,,,
ふわっと,自由感覚,0.8,,,,,,,,
ふわっと,挑戦感覚,0.8,,,,,,,,
ふわっと,ワクワク自由,0.9,,,,,,,,
ふわっと,柔軟感覚,0.7,,,,,,,,
ふわっと,自由志向的,0.8,,,,,,,,
ふわっと,夢心地,0.9,,,,,,,,
ふわっと,仲間感覚,0.7,,,,,,,,
ふわっと,挑戦文化,0.8,,,,,,,,
ふわっと,面白さ文化,0.6,,,,,,,,
ふわっと,自由気持ち,0.8,,,,,,,,
ふわっと,ワクワク精神,0.9,,,,,,,,
ふわっと,夢冒険,0.9,,,,,,,,
ふわっと,柔軟文化,0.7,,,,,,,,
ふわっと,挑戦冒険心,0.8,,,,,,,,
ふわっと,自由精神,0.8,,,,,,,,
ふわっと,好奇心冒険,0.9,,,,,,,,
ふわっと,面白精神,0.7,,,,,,,,
ふわっと,自由探検,0.8,,,,,,,,
ふわっと,ワクワク探求,0.9,,,,,,,,
ふわっと,夢想家,0.9,,,,,,,,
ふわっと,挑戦意欲満載,0.8,,,,,,,,
ふわっと,自由挑戦力,0.8,,,,,,,,
ふわっと,柔軟冒険,0.7,,,,,,,,
ふわっと,仲間精神,0.7,,,,,,,,
ふわっと,面白探求,0.7,,,,,,,,
ふわっと,ワクワク冒険心,0.9,,,,,,,,
ふわっと,自由創意,0.8,,,,,,,,
ふわっと,夢体験,0.9,,,,,,,,
ふわっと,挑戦感,0.8,,,,,,,,
ふわっと,好奇心発揮,0.9,,,,,,,,
ふわっと,自由好奇心,0.8,,,,,,,,
ふわっと,面白挑戦力,0.7,,,,,,,,
ふわっと,ワクワク挑戦心,0.9,,,,,,,,
ふわっと,柔軟挑戦力,0.7,,,,,,,,
ふわっと,自由創造力,0.8,,,,,,,,
ふわっと,夢想的,0.9,,,,,,,,
ふわっと,挑戦探求,0.8,,,,,,,,
ふわっと,仲間協力,0.7,,,,,,,,
ふわっと,面白発想豊か,0.7,,,,,,,,
ふわっと,ワクワク探求心,0.9,,,,,,,,
ふわっと,自由冒険,0.8,,,,,,,,
ふわっと,夢探求心,0.9,,,,,,,,
ふわっと,挑戦的文化,0.8,,,,,,,,
ふわっと,好奇心豊かな心,0.9,,,,,,,,
ふわっと,自由文化体験,0.8,,,,,,,,
ふわっと,面白冒険,0.7,,,,,,,,
ふわっと,ワクワク自由感,0.9,,,,,,,,
ふわっと,柔軟自由,0.7,,,,,,,,
ふわっと,夢自由,0.9,,,,,,,,
ふわっと,挑戦的発想,0.8,,,,,,,,
ふわっと,パッション,0.8,,,,,,,,
ふわっと,体験向上,0.8,,,,,,,,
ふわっと,インパクト,0.75,,,,,,,,
ふわっと,アイディア,0.7,,,,,,,,
ふわっと,働きがい,0.9,,,,,,,,
ふわっと,アジリティ,0.75,,,,,,,,
ふわっと,価値提供,0.8,,,,,,,,
ふわっと,ワンストップ,0.75,,,,,,,,
ふわっと,ファン増加,0.8,,,,,,,,
ふわっと,エンゲージメント向上,0.85,,,,,,,,
ふわっと,日本一,0.8,,,,,,,,
ふわっと,超巨大,0.75,,,,,,,,
ふわっと,刺激的,0.7,,,,,,,,
ふわっと,手触り感,0.7,,,,,,,,
本気,AWS,1,,,,,,,,
本気,バックエンド,1,,,,,,,,
本気,Python,1,,,,,,,,
本気,Java,0.9,,,,,,,,
本気,フロントエンド,0.9,,,,,,,,
本気,データベース,1,,,,,,,,
本気,SQL,1,,,,,,,,
本気,CI/CD,0.8,,,,,,,,
本気,Git,0.9,,,,,,,,
本気,セキュリティ,0.9,,,,,,,,
本気,クラウド,1,,,,,,,,
本気,インフラ,0.8,,,,,,,,
本気,コンテナ,0.8,,,,,,,,
本気,Kubernetes,0.9,,,,,,,,
本気,React,0.8,,,,,,,,
本気,Node.js,0.8,,,,,,,,
本気,テスト自動化,0.9,,,,,,,,
本気,開発プロセス,0.8,,,,,,,,
本気,アジャイル,0.9,,,,,,,,
本気,コードレビュー,0.8,,,,,,,,
本気,Docker,0.9,,,,,,,,
本気,Terraform,0.8,,,,,,,,
本気,監視,0.8,,,,,,,,
本気,CI,0.8,,,,,,,,
本気,CD,0.8,,,,,,,,
本気,マイクロサービス,0.9,,,,,,,,
本気,設計書,0.7,,,,,,,,
本気,技術仕様,0.8,,,,,,,,
本気,リファクタリング,0.8,,,,,,,,
本気,デバッグ,0.8,,,,,,,,
本気,テストケース,0.8,,,,,,,,
本気,ユニットテスト,0.9,,,,,,,,
本気,統合テスト,0.8,,,,,,,,
本気,スケーラビリティ,0.8,,,,,,,,
本気,アーキテクチャ,0.9,,,,,,,,
本気,REST API,0.9,,,,,,,,
本気,GraphQL,0.8,,,,,,,,
本気,WebSocket,0.7,,,,,,,,
本気,CIツール,0.8,,,,,,,,
本気,リリース,0.8,,,,,,,,
本気,デプロイ,0.8,,,,,,,,
本気,バージョン管理,0.9,,,,,,,,
本気,コード品質,0.9,,,,,,,,
本気,レビュー,0.8,,,,,,,,
本気,アジャイル開発,0.9,,,,,,,,
本気,スクラム,0.8,,,,,,,,
本気,カンバン,0.7,,,,,,,,
本気,プロジェクト管理,0.8,,,,,,,,
本気,Jira,0.8,,,,,,,,
本気,Redmine,0.7,,,,,,,,
本気,Confluence,0.7,,,,,,,,
本気,仕様書,0.8,,,,,,,,
本気,ドキュメント,0.8,,,,,,,,
本気,バグ修正,0.8,,,,,,,,
本気,障害対応,0.8,,,,,,,,
本気,モニタリング,0.8,,,,,,,,
本気,ログ解析,0.8,,,,,,,,
本気,可観測性,0.7,,,,,,,,
本気,セキュリティ監査,0.9,,,,,,,,
本気,暗号化,0.9,,,,,,,,
本気,認証,0.8,,,,,,,,
本気,認可,0.8,,,,,,,,
本気,アクセス制御,0.8,,,,,,,,
本気,パッチ適用,0.8,,,,,,,,
本気,脆弱性対応,0.9,,,,,,,,
本気,バックアップ,0.8,,,,,,,,
本気,リカバリ,0.8,,,,,,,,
本気,冗長化,0.8,,,,,,,,
本気,負荷分散,0.8,,,,,,,,
本気,キャッシュ,0.7,,,,,,,,
本気,スレッド,0.7,,,,,,,,
本気,非同期処理,0.8,,,,,,,,
本気,同期処理,0.7,,,,,,,,
本気,メッセージング,0.8,,,,,,,,
本気,RabbitMQ,0.8,,,,,,,,
本気,Kafka,0.8,,,,,,,,
本気,ActiveMQ,0.7,,,,,,,,
本気,分散処理,0.8,,,,,,,,
本気,MapReduce,0.7,,,,,,,,
本気,Hadoop,0.7,,,,,,,,
本気,Spark,0.8,,,,,,,,
本気,ETL,0.8,,,,,,,,
本気,データパイプライン,0.8,,,,,,,,
本気,データ分析,0.9,,,,,,,,
本気,BI,0.8,,,,,,,,
本気,レポーティング,0.8,,,,,,,,
本気,可視化,0.8,,,,,,,,
本気,Tableau,0.8,,,,,,,,
本気,PowerBI,0.8,,,,,,,,
本気,Looker,0.8,,,,,,,,
本気,機械学習,0.9,,,,,,,,
本気,AI,0.9,,,,,,,,
本気,深層学習,0.9,,,,,,,,
本気,TensorFlow,0.9,,,,,,,,
本気,PyTorch,0.9,,,,,,,,
本気,モデル評価,0.8,,,,,,,,
本気,ハイパーパラメータ,0.8,,,,,,,,
本気,特徴量,0.8,,,,,,,,
本気,教師データ,0.8,,,,,,,,
本気,前処理,0.8,,,,,,,,
本気,後処理,0.8,,,,,,,,
本気,自然言語処理,0.9,,,,,,,,
本気,NLP,0.9,,,,,,,,
本気,画像認識,0.9,,,,,,,,
本気,コンピュータビジョン,0.9,,,,,,,,
本気,クラウドサービス,0.9,,,,,,,,
本気,AWS Lambda,0.9,,,,,,,,
本気,EC2,0.9,,,,,,,,
本気,S3,0.9,,,,,,,,
本気,RDS,0.9,,,,,,,,
本気,DynamoDB,0.9,,,,,,,,
本気,ネットワーク,0.8,,,,,,,,
本気,VPC,0.8,,,,,,,,
本気,ロードバランサ,0.8,,,,,,,,
本気,セキュリティグループ,0.8,,,,,,,,
本気,IAM,0.9,,,,,,,,
本気,認証認可,0.9,,,,,,,,
本気,アクセス権,0.8,,,,,,,,
本気,SSL,0.8,,,,,,,,
本気,TLS,0.8,,,,,,,,
本気,監査対応,0.8,,,,,,,,
本気,リスク管理,0.8,,,,,,,,
本気,BCP,0.8,,,,,,,,
本気,可用性,0.8,,,,,,,,
本気,信頼性,0.9,,,,,,,,
本気,高負荷対応,0.8,,,,,,,,
本気,チューニング,0.8,,,,,,,,
本気,パフォーマンス改善,0.8,,,,,,,,
本気,メトリクス,0.8,,,,,,,,
本気,監視システム,0.8,,,,,,,,
本気,アラート設定,0.8,,,,,,,,
本気,障害通知,0.8,,,,,,,,
本気,ログ管理,0.8,,,,,,,,
本気,イベント管理,0.8,,,,,,,,
本気,通知システム,0.8,,,,,,,,
本気,バックエンド開発,1,,,,,,,,
本気,フロント開発,0.9,,,,,,,,
本気,モバイル開発,0.9,,,,,,,,
本気,iOS,0.9,,,,,,,,
本気,Android,0.9,,,,,,,,
本気,React Native,0.8,,,,,,,,
本気,Flutter,0.8,,,,,,,,
本気,API設計,0.9,,,,,,,,
本気,REST設計,0.9,,,,,,,,
本気,GraphQL設計,0.8,,,,,,,,
本気,テスト駆動開発,0.9,,,,,,,,
本気,CI環境構築,0.8,,,,,,,,
本気,開発標準,0.8,,,,,,,,
本気,アーキテクチャ設計,0.9,,,,,,,,
本気,技術戦略,0.8,,,,,,,,
本気,開発戦略,0.8,,,,,,,,
本気,コード最適化,0.8,,,,,,,,
本気,パフォーマンスチューニング,0.8,,,,,,,,
本気,レビュー文化,0.8,,,,,,,,
本気,開発効率,0.8,,,,,,,,
本気,運用自動化,0.8,,,,,,,,
本気,ITIL,0.7,,,,,,,,
本気,運用監視,0.8,,,,,,,,
本気,障害対応手順,0.8,,,,,,,,
本気,インシデント管理,0.8,,,,,,,,
本気,ログ分析,0.8,,,,,,,,
本気,ネットワーク監視,0.8,,,,,,,,
本気,トラブルシューティング,0.8,,,,,,,,
本気,ロードマップ,0.8,,,,,,,,
本気,技術要件,0.8,,,,,,,,
本気,システム要件,0.8,,,,,,,,
本気,パフォーマンス測定,0.8,,,,,,,,
本気,監視ダッシュボード,0.8,,,,,,,,
本気,アプリケーション監視,0.8,,,,,,,,
本気,ネットワーク構築,0.8,,,,,,,,
本気,データ管理,0.8,,,,,,,,
本気,ITガバナンス,0.8,,,,,,,,
本気,運用改善,0.8,,,,,,,,
本気,標準化,0.8,,,,,,,,
本気,手順書,0.8,,,,,,,,
本気,セキュリティ対策,0.9,,,,,,,,
本気,監査準備,0.8,,,,,,,,
本気,IT戦略,0.8,,,,,,,,
本気,インフラ運用,0.8,,,,,,,,
本気,開発運用,0.8,,,,,,,,
本気,設計,0.8,,,,,,,,
本気,開発,0.8,,,,,,,,
本気,テスト,0.8,,,,,,,,
本気,運用,0.8,,,,,,,,
本気,アプリケーション開発,0.8,,,,,,,,
本気,Next.js,0.8,,,,,,,,
本気,改善,0.75,,,,,,,,
本気,実装,0.8,,,,,,,,
本気,選定,0.8,,,,,,,,
本気,リード,0.85,,,,,,,,
本気,改善提案,0.75,,,,,,,,
本気,ディレクション,0.8,,,,,,,,
本気,技術的負債軽視せず,0.8,,,,,,,,
本気,品質管理,0.8,,,,,,,,
本気,UI/UX,0.8,,,,,,,,
本気,Next.js,0.8,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
